INVOICENO,"STOCK CODE",Description,Quantity,InvoiceDate,UNITPRICE,CustomerID,Country
536365,85123,"WHITE HANGING HEART T-LIGHT HOLDER",6,01-12-2010,2.55,17850,"United Kingdom"
536366,71053,"WHITE METAL LANTERN",6,1-12-2010,3.39,13047,"United Kingdom"
536367,84406,"CREAM CUPID HEARTS COAT HANGER",8,"12-01-2010 08:26",2.75,12583,"United Kingdom"
536368,84029,"KNITTED UNION FLAG HOT WATER BOTTLE",6,"12-01-2010 08:26",3.39,13748,"United Kingdom"
536369,84029,"RED WOOLLY HOTTIE WHITE HEART.",6,"12-01-2010 08:26",3.39,15100,"United Kingdom"
536370,22752,"SET 7 BABUSHKA NESTING BOXES",2,"12-01-2010 08:26",7.65,15291,"United Kingdom"
536371,21730,"GLASS STAR FROSTED T-LIGHT HOLDER",6,"12-01-2010 08:26",4.25,14688,"United Kingdom"
536372,22633,"HAND WARMER UNION JACK",6,"12-01-2010 08:28",1.85,17809,"United Kingdom"
536373,22632,"HAND WARMER RED POLKA DOT",6,"12-01-2010 08:28",1.85,15311,"United Kingdom"
536374,84879,"ASSORTED COLOUR BIRD ORNAMENT",32,"12-01-2010 08:34",1.69,16098,"United Kingdom"
