INVOICENO,"STOCK CODE",Description,Quantity,InvoiceDate,UNITPRICE,CustomerID,Country
536676,22941,"CHRISTMAS LIGHTS 10 REINDEER",6,"12-01-2010 10:03",8.5,14576,Australia
536681,21622,"VINTAGE UNION JACK CUSHION COVER",8,"12-01-2010 10:03",4.95,13145,Australia
536685,21791,"VINTAGE HEADS AND TAILS CARD GAME ",12,"12-01-2010 10:03",1.25,14395,Australia
536688,35004,"SET OF 3 COLOURED  FLYING DUCKS",6,"12-01-2010 10:03",5.45,14865,Australia
536690,35004,"SET OF 3 GOLD FLYING DUCKS",4,"12-01-2010 10:03",6.35,15093,Australia
536693,85014,"RED RETROSPOT UMBRELLA",6,"12-01-2010 10:03",5.95,12738,Australia
536698,85014,"BLACK/BLUE POLKADOT UMBRELLA",3,"12-01-2010 10:03",5.95,16150,Australia
536707,22193,"RED DINER WALL CLOCK",2,"12-01-2010 10:03",8.5,17552,Australia
536732,22726,"ALARM CLOCK BAKELIKE GREEN",4,"12-01-2010 10:03",3.75,14236,Australia
536733,22727,"ALARM CLOCK BAKELIKE RED ",4,"12-01-2010 10:03",3.75,17961,Australia
536734,22192,"BLUE DINER WALL CLOCK",2,"12-01-2010 10:03",8.5,14573,Australia
536735,22191,"IVORY DINER WALL CLOCK",2,"12-01-2010 10:03",8.5,17135,Australia
536736,22195,"LARGE HEART MEASURING SPOONS",24,"12-01-2010 10:03",1.65,17396,Australia
536737,22196,"SMALL HEART MEASURING SPOONS",24,"12-01-2010 10:03",0.85,14213,Australia
